,Title,Company,Location,Date Posted,Summary,Job Link
65,Territory Manager of Hygiene Support,Aspen Dental,"Bloomfield, CT 06002",PostedPosted 30+ days ago,"Prior dental administrative/leadership experience.
Adjunct or full-time dental hygiene faculty experience, and/or dental hygiene consulting experience with a…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=8734fb82127c2499
66,Dental Front Office Coordinator,Wayland Dental,"Wayland, MA 01778",PostedPosted 19 days ago,"Facility with Microsoft Office and dental practice management software.
Prior front desk experience in a medical or dental office.
We grow always in all ways.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=958d98bfb805a763
67,Locum Dentist,Mondovi Dental,"Hudson, NH 03051",PostedPosted 11 days ago,"Schedule (days/hours): Mon- Thu Responsibilities:
National & Regional Direct Locum Tenens Dentist Opportunities Looking for the flexibility of a Locum Dentist…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=057d0a725f1a082c
68,Dental Director,United Community & Family Services Inc,"Norwich, CT 06360 (Norwichtown area)",PostedPosted 13 days ago,"Develop and manage dental department budget.
UCFS is currently seeking an experienced Dental Director to join our team to oversee the dental department and…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=6690c90932f76b9a
69,Sterilization-Dispensary Assistant,University of New England,"Portland, ME (Riverton area)",PostedPosted 9 days ago,"Quality assessment and maintenance of dental instruments.
Preferred knowledge of dental instruments and terminology.
COVID Vaccination Statement (PLEASE NOTE).",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=00e1109851b589c1
70,"Adjunct Assistant Clinical Professor, Prosthodontics, College of Dental Medicine",University of New England,"Portland, ME (Riverton area)",PostedPosted 9 days ago,"Located on UNE’s Portland Campus for the Health Sciences, UNE CDM is the only dental school in a region where access to quality oral healthcare is a persistent…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=425ae0e1bce2d48c
71,Dental Hygienist -Middletown (FT),Moses / Weitzman Health System,"Middletown, CT 06457",PostedPosted 6 days ago,"Have a commitment to preventative dental care.
Provide education and dental hygiene to adults and children.
Ability to set up and prepare dental equipment and…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=aeee04e2aa4e9773
72,Teacher - Vocational Tech [Dental Assisting] (SY24-25),Boston Public Schools,"Boston, MA 02119 (Roxbury area)",PostedPosted 30+ days ago,"Occupational License/ Industry Certification:Possession of current dental assisting certification.
**This school has been designated underperforming or…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=dfa530142864cc71
73,Dental Hygienist,Charter Oak Health Center Inc,"Hartford, CT 06106 (Frog Hollow area)",PostedPosted 30+ days ago,"Apply fluorides and other cavity preventing agents to arrest dental decay.
Conduct dental health clinics for community groups to augment services of dentist.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=1afff9735c8d577d
74,Dental Hygienist - Portland High School - Part time,Greater Portland Health,"Portland, ME 04102 (Rosemont area)",PostedPosted 30+ days ago,"* The dental hygienist, as part of an FQHC, may be eligible for student loan repayment**.
The Dental Hygienist performs duties according to accepted practices…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=f3e78b58125af2c4
75,Registered Dental Hygienist,Cornerstone Dental Care,"Westborough, MA 01581",PostedPosted 5 days ago,"Experience is preferred and a current dental hygienist license is required.
One year or more of relevant experience in the dental industry preferred but open to…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=1e18b52136b07b7d
76,Dental Assistant,Aspen Dental,"Plymouth, MA 02360",PostedPosted 30+ days ago,"Ability to work collaboratively with other members of the dental team to provide exceptional patient care.
A generous benefits package that includes paid time…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=284628020ab125a2
77,"Dental Office Manager - East Harwich, MA",Mondovi Dental,"East Harwich, MA 02645",PostedPosted 5 days ago,"Schedule (days/hours): M-Th 8am-5pm Responsibilities:
Overseeing patient scheduling, managing collections and receivables, getting supplies and navigating other…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=5b4b39ef358e3ee6
78,Dental Assistant II,University of New England,"Portland, ME (Riverton area)",PostedPosted 9 days ago,Perform chairside dental assisting duties for student or faculty providers to include operatory set-up and breakdown using proper infection control protocols;…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=5954c0d574abfcf7
79,Dental Hygienist FT,New England Dental Partners,"Centerville, MA 02632",PostedPosted 23 days ago,"Under indirect supervision, the Hygienist will remove hard and soft deposits from teeth and examine oral areas, head, and neck for signs of oral disease as well…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=b72534dc09155ea0
80,"HYGIENIST, School of Dental Medicine, Clinical Affairs",Boston University,"Boston, MA 02215 (Kenmore area)",PostedPosted 30+ days ago,"Providing clinical services by exposing radiographs, performing dental cleanings, performing scaling and root planning with the local anesthesia, dispense…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=a27eb51bcb1d9873
81,Dental Hygienist,"Akahi Associates, LLC","Newport, RI 02841",PostedPosted 30+ days ago,"Chair side dental assisting when directed by the Officer-In-Charge of the dental clinic.
Education: Successful completion of a dental hygiene program accredited…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=39dcef303ec35a88
82,Dentist,United Community & Family Services Inc,"Norwich, CT 06360 (Norwichtown area)",PostedPosted 30+ days ago,"Medical, dental and vision insurance.
Collaborate with members of the dental team to provide comprehensive care.
401(k) plan with 6% employer contribution.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=fa6d71e48451ca99
83,Registered Dental Hygienist,BGH Dental,"Greenfield, MA 01301",PostedPosted 9 days ago,"Patient screening procedures such as, assessment of oral health conditions, reviewing health history, oral cancer screening, head and neck inspection, dental…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=9f3dc20fdbbe4fb2
84,Dental Treatment Plan Coordinator,Generations Dental Care,"Concord, NH 03301",PostedPosted 13 days ago,"Facility with Microsoft Office and dental practice management software.
The Treatment Plan Coordinator’s primary responsibility is to ensure that the patient’s…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=16243255f2109ca4
85,Dental Assistant New Bedford,DENTAL DREAMS,"Fall River, MA 02721 (Maplewood area)",PostedPosted 6 days ago,"Charting during the dental examination.
Free dental treatment at our locations.
Provide chair side assistance to the Dentist during dental examinations and…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=86c962c0ec69e500
86,Registered Dental Hygienist,Cedar MT Dental,"Newington, CT 06111",PostedPosted 8 days ago,"Experience is preferred and a current dental hygienist license is required.
One year or more of relevant experience in the dental industry preferred but open to…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=5f48636f8cde6324
87,Dental Assistant,Mondovi Dental,"East Harwich, MA 02645",PostedPosted 4 days ago,"Preparing patients and treatment rooms for dental procedures.
At least one year of dental assisting experience.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=309d4ec769e4c5c1
88,Dental Assistant,Cedar MT Dental,"Newington, CT 06111",PostedPosted 8 days ago,"Work with and maintain all dental equipment.
At least one year of dental assisting experience.
Sterilize and prepare instruments for tray setups before dental…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=d6031be10e69b2e7
89,Dental Hygienist,Mondovi Dental,"Sturbridge, MA 01566",PostedPosted 1 day ago,"Provide dental prophylaxis and periodontal treatments.
While you're supporting patients, we'll be supporting you with professional development, competitive…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=12dd18d271cf68f6
90,Dental Hygienist,Meadow Place Dental,"East Longmeadow, MA 01028",PostedPosted 14 days ago,"Provide dental prophylaxis and periodontal treatments.
Smile Brands supports nearly 700 affiliated dental offices across 30 states all focused on a single…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=595117503ab98707
91,Dental Front Office Coordinator,Generations Dental Care,"Concord, NH 03301",PostedPosted 13 days ago,"Facility with Microsoft Office and dental practice management software.
Prior front desk experience in a medical or dental office.
We grow always in all ways.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=05c2c75b5ac38a6f
92,Dentist (Chief Dental Officer),"US Justice, Bureau of Prisons/Federal Prison...","Fort Devens, MA",PostedPosted 6 days ago,"Serves as a general dental practitioner responsible for diagnosis and treatment of difficult dental problems in a correctional environment.
This job is open to.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=fceaad91e930400a
93,Supervisor,Aspen Dental,"Farmington, CT 06032",PostedPosted 20 days ago,"Work collaboratively with other members of the dental team to provide exceptional patient care.
The practices receive non-clinical business support services…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=444b518d82a54cd7
94,Locum Dentist,Midwest Dental,"Southwick, MA 01077",PostedPosted 30+ days ago,"Schedule (days/hours): Mon- Thu Responsibilities:
National & Regional Direct Locum Tenens Dentist Opportunities Looking for the flexibility of a Locum Dentist…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=96994582029a6dd5
95,Dentist,HealthDrive,"Bourne, MA 02532",PostedPosted 30+ days ago,"Dentistry background with proficiency in the assessment, treatment, management and evaluation of dental care.
HealthDrive is currently seeking a Dentist.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=b6d75eab1f25c7ca
96,Front Desk Dental Receptionist,Ascend Dental Studio,"Brookline, MA 02446 (Longwood area)",EmployerActive 3 days ago,"Previous experience working in a dental office is preferred.
Knowledge of dental practice management software (Dentrix) is a plus.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=6054c541e0bcac44
97,Dental Assistant/ Front office,Kendall Square Dental,"Cambridge, MA 02139 (Kendall Square area)",EmployerActive 3 days ago,"We are looking for a dental assistant/ front desk to join our great team.
The position is part time/3days /week/ Tuesday-Thursday.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=8dcbbeebaaf03e59
98,"Dental Office Manager - Rapidly Growing, Quality-Focused Family Practice",Newton Corner Dental Care,"Newton, MA 02458 (Nonantum area)",EmployerActive 6 days ago,_At least three years of dental office-specific administrative experience and/or at least one year of dental office-specific office manager experience required.,https://www.indeed.com/jobs?q=Dental+Jobs&l=Boston%2C+MA&radius=100&vjk=838b992ae56e0861&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&l=Boston%2C+MA&radius=100&vjk=9de92abeff67c8c3
